service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
312760397039,1,1,1,1,1,1,1,20260208,20270208
306260397039,1,1,1,1,1,0,0,20260208,20270208
306560397039,0,0,0,0,0,1,1,20260208,20270208
106260487039,1,1,1,1,1,0,0,20260217,20270208
206260396044,1,1,1,1,1,0,0,20260208,20260213
203760396066,1,0,0,1,0,1,0,20260208,20260307
208460396067,0,1,0,1,0,0,1,20260208,20260308
212760396066,1,1,1,1,1,1,1,20260208,20260307
106460676067,0,0,0,0,0,0,1,20260308,20260308
112760687039,1,1,1,1,1,1,1,20260309,20270208
112760707039,1,1,1,1,1,1,1,20260311,20270208
212760396068,1,1,1,1,1,1,1,20260208,20260309
101660696069,0,1,0,0,0,0,0,20260310,20260310
103260686068,1,0,0,0,0,0,0,20260309,20260309
300260397039,0,0,0,0,1,0,0,20260208,20270208
306460397039,0,0,0,0,0,0,1,20260208,20270208
108460697039,0,1,0,1,0,0,1,20260310,20270208
112760747039,1,1,1,1,1,1,1,20260315,20270208
103760687039,1,0,0,1,0,1,0,20260309,20270208
212760396073,1,1,1,1,1,1,1,20260208,20260314
106460466046,0,0,0,0,0,0,1,20260215,20260215
103260476047,1,0,0,0,0,0,0,20260216,20260216
112760697039,1,1,1,1,1,1,1,20260310,20270208
109660676068,1,0,0,0,0,0,1,20260308,20260309
207160396088,0,0,0,1,1,1,1,20260208,20260329
306360397039,1,1,1,1,1,1,0,20260208,20270208
106460537039,0,0,0,0,0,0,1,20260222,20270208
300160397039,0,0,0,0,0,1,0,20260208,20270208
106560457039,0,0,0,0,0,1,1,20260214,20270208
306060397039,1,1,1,1,0,0,0,20260208,20270208
100160666066,0,0,0,0,0,1,0,20260307,20260307
112760677039,1,1,1,1,1,1,1,20260308,20270208
212760396064,1,1,1,1,1,1,1,20260208,20260305
100260656065,0,0,0,0,1,0,0,20260306,20260306
106262867039,1,1,1,1,1,0,0,20261013,20270208
206260396135,1,1,1,1,1,0,0,20260208,20260515
106261386285,1,1,1,1,1,0,0,20260518,20261012
106562907039,0,0,0,0,0,1,1,20261017,20270208
206560396130,0,0,0,0,0,1,1,20260208,20260510
106561366137,0,0,0,0,0,1,1,20260516,20260517
106561436284,0,0,0,0,0,1,1,20260523,20261011
206560396137,0,0,0,0,0,1,1,20260208,20260517
106261467039,1,1,1,1,1,0,0,20260526,20270208
206260396142,1,1,1,1,1,0,0,20260208,20260522
103261456145,1,0,0,0,0,0,0,20260525,20260525
112761467039,1,1,1,1,1,1,1,20260526,20270208
212760396144,1,1,1,1,1,1,1,20260208,20260524
212760396065,1,1,1,1,1,1,1,20260208,20260306
212760396067,1,1,1,1,1,1,1,20260208,20260308
112761437039,1,1,1,1,1,1,1,20260523,20270208
212760396141,1,1,1,1,1,1,1,20260208,20260521
100261426142,0,0,0,0,1,0,0,20260522,20260522
112761187039,1,1,1,1,1,1,1,20260428,20270208
212760396102,1,1,1,1,1,1,1,20260208,20260412
103261036117,1,0,0,0,0,0,0,20260413,20260427
109561046116,0,1,1,1,1,1,1,20260414,20260426
106261527039,1,1,1,1,1,0,0,20260601,20270208
106260486072,1,1,1,1,1,0,0,20260217,20260313
106260756149,1,1,1,1,1,0,0,20260316,20260529
106060487039,1,1,1,1,0,0,0,20260217,20270208
200260396072,0,0,0,0,1,0,0,20260208,20260313
206060396043,1,1,1,1,0,0,0,20260208,20260212
100160527039,0,0,0,0,0,1,0,20260221,20270208
109760456047,1,0,0,0,0,1,1,20260214,20260216
103060486051,0,1,1,1,1,0,0,20260217,20260220
106460536074,0,0,0,0,0,0,1,20260222,20260315
106260546072,1,1,1,1,1,0,0,20260223,20260313
100160807039,0,0,0,0,0,1,0,20260321,20270208
100160877039,0,0,0,0,0,1,0,20260328,20270208
100160456073,0,0,0,0,0,1,0,20260214,20260314
112660466074,1,1,1,1,1,0,1,20260215,20260315
109660466047,1,0,0,0,0,0,1,20260215,20260216
106560456080,0,0,0,0,0,1,1,20260214,20260321
106560807039,0,0,0,0,0,1,1,20260321,20270208
106560456074,0,0,0,0,0,1,1,20260214,20260315
106560526074,0,0,0,0,0,1,1,20260221,20260315
106560456046,0,0,0,0,0,1,1,20260214,20260215
100160526073,0,0,0,0,0,1,0,20260221,20260314
106260486055,1,1,1,1,1,0,0,20260217,20260224
100860566056,0,0,1,0,0,0,0,20260225,20260225
106260576072,1,1,1,1,1,0,0,20260226,20260313
103360456047,1,0,0,0,0,1,0,20260214,20260216
106460466074,0,0,0,0,0,0,1,20260215,20260315
100261567039,0,0,0,0,1,0,0,20260605,20270208
206260396042,1,1,1,1,1,0,0,20260208,20260211
106260476055,1,1,1,1,1,0,0,20260216,20260224
106260576063,1,1,1,1,1,0,0,20260226,20260304
105460656071,1,1,0,1,1,0,0,20260306,20260312
103060766091,0,1,1,1,1,0,0,20260317,20260401
104860966097,1,1,0,0,0,0,0,20260406,20260407
106260996106,1,1,1,1,1,0,0,20260409,20260416
104861106111,1,1,0,0,0,0,0,20260420,20260421
106261136127,1,1,1,1,1,0,0,20260423,20260507
106261316135,1,1,1,1,1,0,0,20260511,20260515
106261386155,1,1,1,1,1,0,0,20260518,20260604
105661596161,1,1,1,0,0,0,0,20260608,20260610
106261636184,1,1,1,1,1,0,0,20260612,20260703
101461896197,0,0,1,1,1,0,0,20260708,20260716
105262016204,1,1,0,1,0,0,0,20260720,20260723
106262086285,1,1,1,1,1,0,0,20260727,20261012
107160436046,0,0,0,1,1,1,1,20260212,20260215
100460646064,0,0,0,1,0,0,0,20260305,20260305
104260706075,1,0,1,0,1,0,0,20260311,20260316
109660816089,1,0,0,0,0,0,1,20260322,20260330
101560926098,0,0,1,1,1,1,0,20260402,20260408
107461076112,0,0,1,0,1,0,1,20260417,20260422
100361286129,0,0,0,0,1,1,0,20260508,20260509
100761566162,0,0,0,1,1,1,0,20260605,20260611
104861876195,1,1,0,0,0,0,0,20260706,20260714
101161986206,0,0,1,0,1,1,0,20260717,20260725
106260897039,1,1,1,1,1,0,0,20260330,20270208
106260757039,1,1,1,1,1,0,0,20260316,20270208
100161577039,0,0,0,0,0,1,0,20260606,20270208
100160806150,0,0,0,0,0,1,0,20260321,20260530
106561577039,0,0,0,0,0,1,1,20260606,20270208
106560806151,0,0,0,0,0,1,1,20260321,20260531
112760456074,1,1,1,1,1,1,1,20260214,20260315
100260796093,0,0,0,0,1,0,0,20260320,20260403
100261006149,0,0,0,0,1,0,0,20260410,20260529
106460817039,0,0,0,0,0,0,1,20260322,20270208
112660987039,1,1,1,1,1,0,1,20260408,20270208
100161017039,0,0,0,0,0,1,0,20260411,20270208
112760987039,1,1,1,1,1,1,1,20260408,20270208
212660396097,1,1,1,1,1,0,1,20260208,20260407
100160456059,0,0,0,0,0,1,0,20260214,20260228
100160736073,0,0,0,0,0,1,0,20260314,20260314
100160806094,0,0,0,0,0,1,0,20260321,20260404
212760396044,1,1,1,1,1,1,1,20260208,20260213
112760456065,1,1,1,1,1,1,1,20260214,20260306
112760676074,1,1,1,1,1,1,1,20260308,20260315
112760756097,1,1,1,1,1,1,1,20260316,20260407
106460957039,0,0,0,0,0,0,1,20260405,20270208
100260937039,0,0,0,0,1,0,0,20260403,20270208
106560947039,0,0,0,0,0,1,1,20260404,20270208
206260396076,1,1,1,1,1,0,0,20260208,20260317
100860776077,0,0,1,0,0,0,0,20260318,20260318
106260786135,1,1,1,1,1,0,0,20260319,20260515
106260617039,1,1,1,1,1,0,0,20260302,20270208
106560667039,0,0,0,0,0,1,1,20260307,20270208
106461587039,0,0,0,0,0,0,1,20260607,20270208
106461027039,0,0,0,0,0,0,1,20260412,20270208
106460816151,0,0,0,0,0,0,1,20260322,20260531
106560806088,0,0,0,0,0,1,1,20260321,20260329
100160946150,0,0,0,0,0,1,0,20260404,20260530
106460956095,0,0,0,0,0,0,1,20260405,20260405
212760396069,1,1,1,1,1,1,1,20260208,20260310
112761217039,1,1,1,1,1,1,1,20260501,20270208
212760396120,1,1,1,1,1,1,1,20260208,20260430
106560526080,0,0,0,0,0,1,1,20260221,20260321
100160876087,0,0,0,0,0,1,0,20260328,20260328
